nuFnu_syn,nu_syn,CLASS,SED_class,GLON,LP_beta,GLAT,Frac_Variability,Pivot_Energy,Highest_energy,PL_Index,SpectrumType,Unc_Frac_Variability,LP_Index,Unc_Energy_Flux100,Unc_Flux1000,Variability_Index,Flux1000,Unc_LP_Index,Energy_Flux100,Signif_Avg,Unc_PL_Index,Unc_LP_beta,Flags,Redshift
-27.631021,27.631021,FSRQ,LSP,110.177605,0.07103386,-58.378212,1.9864906,7.0447526,3.3622417,2.4684598,PowerLaw,-0.73572713,2.4556198,-28.513844,2.8752643e-11,4.65721,-22.681234,-1.7576474,-26.935806,1.7702641,0.13924596,-2.3431578,0,0.545
-27.3085,32.189163,FSRQ,LSP,69.19585,-0.038170606,-82.484505,0.0,7.4434695,3.54822,2.3954978,PowerLaw,2.3025851,2.3873777,-28.615892,2.37387e-11,2.6119723,-23.018383,-1.8101407,-27.349329,1.5775137,0.20023066,-2.8152442,0,0.834
-27.125349,28.903698,FSRQ,LSP,115.61435,0.10807994,-42.52867,2.0663962,6.469494,3.4947667,2.2213824,LogParabola,-0.81867564,2.0915904,-27.77339,9.257409e-11,8.66795,-19.506752,-3.6595476,-24.186897,4.2434464,0.016678857,-4.2597785,0,1.552007
-26.491974,35.80548,BLL,HSP,96.46627,0.1697594,-78.56577,0.7573207,8.023189,4.575577,1.7859209,LogParabola,-1.4771261,1.5146242,-28.449018,3.6164637e-11,3.7037003,-22.00244,-1.8162488,-26.590097,2.6728673,0.07769765,-2.5469522,0,0.237
-26.636333,30.039389,FSRQ,LSP,317.26767,0.060920384,-74.12445,0.37055287,6.369626,4.5203896,2.485549,LogParabola,-2.4529872,2.447011,-28.16618,4.854586e-11,4.934353,-20.70719,-3.2873144,-25.010965,3.711187,0.029299222,-3.8557727,0,0.495
-27.205656,29.163746,FSRQ,LSP,110.743324,0.12340073,-64.57944,0.86677736,6.4616203,2.7731135,2.3880467,LogParabola,-1.6758937,2.2964163,-27.93138,6.888576e-11,6.711686,-20.205421,-3.2098963,-24.715855,3.8562388,0.025038792,-3.7793686,0,1.804
-27.631021,27.631021,BLL,LSP,89.42051,0.08158408,-82.3356,0.0,8.9174185,5.392445,1.6979182,PowerLaw,2.3025851,1.6652689,-28.95334,2.120534e-11,2.0549417,-23.450964,-1.5634863,-27.750448,1.6766683,0.16964777,-2.2229772,0,0.073
-25.42467,36.496117,BLL,HSP,94.18597,0.07796197,-81.21709,0.2741329,7.417509,5.8985896,1.7474272,LogParabola,-2.7067142,1.5974872,-27.418976,8.437654e-11,4.5311117,-19.734184,-3.371351,-24.265596,4.2795506,0.0189216,-4.345854,0,0.61
-26.125786,34.509872,BLL,ISP,117.15257,0.11763767,-47.449505,0.28743574,7.7416496,5.5759,1.8347769,LogParabola,-2.4163926,1.6441551,-27.846474,6.308245e-11,3.557561,-20.614223,-2.623662,-25.259388,3.530188,0.036557883,-3.4431362,0,1.09026
-25.639288,34.657097,BLL,HSP,117.77323,0.022340322,-50.08318,0.5054583,7.2321305,4.397515,2.2103362,PowerLaw,-2.0470858,2.1960049,-28.265665,4.925017e-11,4.1620216,-21.07084,-2.853225,-25.535938,3.08756,0.050927468,-3.5811267,0,0.089
-27.170033,31.802732,BLL,LSP,115.73305,-0.0033539769,-62.47418,0.05327145,7.5979123,3.860479,2.0819557,PowerLaw,-0.8641137,2.0854409,-28.47467,3.896452e-11,2.399687,-21.553114,-2.5443082,-26.052567,2.8766556,0.07105292,-3.4016163,0,0.7395
-26.61739,28.903698,FSRQ,LSP,67.94319,0.08522936,-86.347115,1.3562248,6.4795094,3.826402,2.238115,LogParabola,-1.2379884,2.149747,-27.896793,7.689771e-11,7.904676,-19.797106,-3.560411,-24.418625,4.2564344,0.018453576,-4.2404046,0,1.196
-27.631021,27.631021,BLL,LSP,92.03161,0.021653423,-84.4438,0.0,8.321055,4.160096,1.79883,PowerLaw,2.3025851,1.7724652,-28.558458,3.068558e-11,1.9326864,-22.15515,-2.209639,-26.547323,2.5805316,0.08723533,-3.046474,0,0.0615
-26.678288,33.39064,BLL,ISP,86.55478,0.15915681,-85.73834,0.69765157,7.469013,2.5648417,2.2231188,PowerLaw,-1.3855542,2.0770545,-28.766203,2.766073e-11,3.4131005,-22.536514,-1.4597485,-26.995419,2.0443766,0.12817839,-1.9667354,0,0.213
-26.871794,35.12649,FSRQ,HSP,120.77072,-0.06590295,-24.820253,0.41717973,8.245681,4.3634577,2.033333,PowerLaw,-1.0601189,2.072971,-28.737768,3.034204e-11,2.589272,-22.592743,-2.210406,-27.091557,2.024452,0.15374209,-3.1930225,0,0.38
-27.06458,34.171806,BLL,ISP,307.66772,0.21194445,-69.99498,0.0,8.64441,3.9833982,1.7639744,PowerLaw,2.3025851,1.580252,-29.067144,1.9497869e-11,2.1427488,-23.29652,-1.2682953,-27.659443,1.8242204,0.15587959,-1.7819525,0,0.15
-27.631021,27.631021,BLL,LSP,120.82833,0.013286043,-26.160883,0.0,8.077114,3.4007506,2.0830975,PowerLaw,2.3025851,2.0725732,-28.720293,2.9917752e-11,2.0167003,-22.598825,-1.8428172,-27.098202,1.9585205,0.14313999,-2.6701913,0,0.47
-27.277294,28.682571,FSRQ,LSP,120.19306,0.036417108,-39.49569,0.23037435,7.238427,3.6372204,2.2841105,PowerLaw,-2.0134404,2.2602847,-28.458755,3.7948557e-11,2.8400087,-21.624311,-2.4275506,-26.047127,2.7400506,0.07284447,-3.0581,0,1.426
-27.631021,27.631021,BLL,LSP,117.76341,-0.013813101,-67.49282,0.22696751,7.9472766,3.4235,2.069559,PowerLaw,-1.203178,2.0808864,-28.564325,3.5310952e-11,2.755375,-22.212667,-2.1096559,-26.712679,2.2199624,0.12139203,-2.9978518,0,0.48
-26.922125,35.64435,BLL,HSP,116.024574,0.18282335,-74.05026,0.35027233,7.9500394,3.6192212,1.9657776,PowerLaw,-1.5131638,1.7318703,-28.617619,3.2583186e-11,2.7882268,-22.15445,-1.4240518,-26.639791,2.3944466,0.09959571,-1.981153,0,0.264
-27.367916,31.723436,FSRQ,LSP,121.161644,0.063086845,-28.414192,0.4441203,7.212199,4.700217,1.943901,LogParabola,-2.3072777,1.8468376,-27.612804,8.3847776e-11,5.4137387,-19.764132,-3.4213889,-24.422668,4.085986,0.02054413,-4.2984686,0,0.966
-26.883257,29.945545,FSRQ,LSP,303.13925,-0.009010781,-32.72377,0.80801016,6.748964,3.0841002,2.6243083,PowerLaw,-1.5197045,2.6307836,-28.30553,3.082949e-11,3.9791381,-22.44659,-2.105804,-26.50262,1.9558055,0.11863315,-2.8141665,0,1.032
-26.943209,29.48267,FSRQ,LSP,310.09497,0.03187482,-79.93449,0.7487317,6.3079348,2.3358748,2.5730233,PowerLaw,-1.7604274,2.5521739,-28.652044,3.2494677e-11,5.0470324,-21.783592,-2.7525046,-25.90971,2.946867,0.055550214,-3.3163574,0,1.033
-27.631021,27.631021,BLL,LSP,122.19439,0.0129048135,-23.06919,0.48492384,7.747653,3.9409854,1.97834,PowerLaw,-2.0994225,1.9639565,-28.3043,4.3725776e-11,4.291827,-21.066721,-2.9058602,-25.555668,3.3007712,0.045879297,-3.738121,0,0.2517
-27.341358,29.329721,FSRQ,LSP,121.88889,0.026780162,-40.30157,1.3932493,7.3710685,3.0985687,2.4494343,PowerLaw,-1.1456424,2.4624088,-28.021418,4.1728943e-11,4.9181824,-21.811586,-2.2722015,-26.087202,2.323517,0.08889869,-3.125713,0,1.161
